 batch,history,calc_int,stddev,batch_time
1,10002200,  1.2000207E+02,  3.9683207E-02,  3.0273900E-03
2,10004600,  1.1997458E+02,  4.4251277E-02,  6.3589990E-03
3,10007000,  1.1998726E+02,  4.8335598E-02,  1.0006252E-02
4,10009400,  1.2000223E+02,  2.2184688E-02,  1.3095184E-02
5,10011800,  1.1998610E+02,  3.4170703E-02,  1.6437394E-02
6,10014200,  1.2000696E+02,  4.4982188E-02,  1.9786716E-02
7,10016600,  1.2000797E+02,  2.3606826E-02,  2.3024112E-02
8,10019000,  1.2001739E+02,  2.8290169E-02,  2.6772561E-02
9,10021400,  1.1998224E+02,  1.6194408E-02,  3.0271458E-02
10,10023800,  1.2001432E+02,  4.7883780E-02,  3.3506785E-02
11,10026200,  1.1999338E+02,  1.4483322E-02,  4.1036040E-02
12,10028600,  1.1999708E+02,  1.1645325E-02,  4.4521812E-02
13,10031000,  1.2000510E+02,  3.5513740E-02,  4.7578699E-02
14,10033400,  1.1999171E+02,  2.6610985E-02,  5.0872564E-02
15,10035800,  1.2000980E+02,  3.7137490E-02,  5.4500967E-02
16,10038200,  1.2002568E+02,  2.5025567E-02,  5.7709428E-02
17,10040600,  1.2000385E+02,  3.2644711E-02,  6.1069918E-02
18,10043000,  1.1999903E+02,  2.0516937E-02,  6.4717692E-02
19,10045400,  1.1998639E+02,  5.4864629E-03,  6.8111784E-02
20,10047800,  1.2000993E+02,  9.9067636E-03,  7.1482896E-02
21,10050200,  1.1998944E+02,  3.4080475E-02,  7.4920865E-02
22,10052600,  1.2000353E+02,  6.0445982E-03,  7.8225835E-02
23,10055000,  1.1999068E+02,  7.5566512E-03,  8.1435449E-02
24,10058100,  1.2001697E+02,  1.2336819E-02,  6.0918250E-03
25,10060600,  1.1998754E+02,  2.8875408E-02,  2.5258925E-02
26,10063100,  1.1999204E+02,  3.0155319E-02,  3.3056344E-02
27,10065500,  1.2002467E+02,  1.9306145E-02,  7.1850201E-02
28,10067900,  1.1999611E+02,  2.3422468E-02,  9.7559577E-02
29,10070600,  1.2001360E+02,  9.9986898E-03,  1.0155310E-03
30,10073500,  1.2002004E+02,  1.7855823E-02,  1.9373776E-02
31,10075900,  1.2002294E+02,  1.7242500E-02,  5.3085819E-02
32,10078400,  1.1996029E+02,  2.3389120E-02,  2.4021390E-02
33,10080800,  1.1997751E+02,  1.9638742E-02,  5.5743876E-02
34,10083200,  1.1999939E+02,  3.2450951E-02,  8.7227339E-02
35,10085600,  1.1995766E+02,  2.5842687E-02,  1.1861382E-01
36,10088000,  1.2001024E+02,  2.7491554E-02,  1.2542667E-01
37,10090400,  1.1999383E+02,  6.3506755E-02,  1.2890131E-01
38,10092800,  1.2000770E+02,  1.2746950E-02,  1.3295242E-01
39,10095300,  1.2000849E+02,  1.6658395E-02,  1.0353122E-02
40,10097700,  1.1999089E+02,  3.1405169E-03,  3.6173269E-02
41,10100200,  1.1998738E+02,  4.4058552E-02,  1.3637842E-02
42,10102600,  1.1998683E+02,  2.1546190E-02,  3.8375908E-02
43,10105000,  1.1999567E+02,  4.4970495E-02,  6.3272980E-02
44,10107400,  1.1998280E+02,  7.0606724E-03,  8.7901846E-02
45,10109900,  1.2000214E+02,  3.6842749E-02,  2.2257749E-02
46,10112300,  1.1997935E+02,  2.6774387E-02,  4.4820772E-02
47,10114700,  1.1996445E+02,  1.9009312E-02,  6.7061819E-02
48,10117800,  1.1999359E+02,  2.9239536E-02,  4.6706700E-03
49,10120300,  1.1997761E+02,  8.6102550E-03,  3.2698985E-02
50,10122700,  1.1998074E+02,  1.6328752E-02,  7.3816279E-02
51,10125200,  1.2001105E+02,  1.8237311E-02,  2.4286915E-02
52,10127600,  1.1998651E+02,  1.7796098E-02,  6.3300477E-02
53,10130000,  1.1998286E+02,  3.9235778E-03,  1.0221938E-01
54,10132400,  1.2000354E+02,  9.5940341E-03,  1.4104294E-01
55,10134800,  1.2000467E+02,  4.7229956E-02,  1.7995563E-01
56,10137200,  1.1999968E+02,  4.7587439E-03,  1.9466818E-01
57,10139600,  1.2000794E+02,  4.6683631E-03,  1.9783759E-01
58,10142200,  1.2001099E+02,  1.1639760E-02,  3.9471380E-03
59,10145200,  1.1998498E+02,  1.4125067E-02,  2.8692930E-03
60,10147600,  1.1998503E+02,  3.6148718E-02,  3.6605082E-02
61,10150000,  1.1999898E+02,  3.2697866E-02,  7.0300885E-02
62,10152400,  1.1998967E+02,  2.8477247E-02,  1.0481689E-01
63,10154900,  1.2003110E+02,  2.3364608E-02,  4.6068700E-03
64,10157300,  1.1998002E+02,  2.0781549E-02,  3.6454818E-02
65,10159700,  1.1999327E+02,  3.6070625E-02,  6.8282228E-02
66,10162100,  1.2002493E+02,  1.2585070E-02,  9.9992337E-02
67,10164500,  1.2001286E+02,  5.8772864E-02,  1.3169261E-01
68,10166900,  1.1998757E+02,  1.4673655E-02,  1.6350452E-01
69,10169300,  1.2000578E+02,  2.2967946E-02,  1.9547051E-01
70,10171700,  1.1999927E+02,  1.4947785E-02,  2.2713947E-01
71,10174100,  1.1999086E+02,  1.0379363E-02,  2.4603875E-01
72,10177200,  1.1998109E+02,  2.7361060E-02,  2.8117820E-03
73,10179700,  1.2000219E+02,  9.1966956E-03,  3.9528833E-02
74,10182100,  1.2000557E+02,  4.1077573E-02,  8.0696022E-02
75,10184500,  1.2000910E+02,  1.9202629E-02,  1.2212088E-01
76,10187000,  1.1999383E+02,  7.4176632E-03,  1.3678373E-02
77,10189400,  1.2001463E+02,  1.9523393E-02,  5.2846900E-02
78,10191900,  1.1999136E+02,  1.3100939E-02,  1.9987644E-02
79,10194300,  1.1997384E+02,  3.2159691E-02,  4.5690760E-02
80,10196700,  1.1999972E+02,  3.5083190E-02,  7.1666862E-02
81,10199100,  1.1998969E+02,  2.4470389E-02,  9.7656407E-02
82,10201600,  1.2000338E+02,  2.0365355E-02,  2.1923259E-02
83,10204000,  1.2001895E+02,  1.8350654E-02,  4.6708347E-02
84,10206400,  1.1999084E+02,  3.1093871E-02,  7.1462695E-02
85,10208800,  1.1996748E+02,  3.1309632E-02,  9.6260634E-02
86,10211200,  1.2003215E+02,  2.4669295E-02,  1.2110758E-01
87,10213600,  1.1999583E+02,  2.3069195E-02,  1.4616063E-01
88,10216700,  1.2000262E+02,  1.9470251E-02,  3.9372220E-03
89,10219300,  1.1999940E+02,  1.8859182E-02,  2.0971122E-02
90,10221700,  1.1998314E+02,  3.4320539E-02,  4.3919613E-02
91,10224100,  1.2001828E+02,  8.5707944E-03,  6.7030720E-02
92,10226500,  1.1999094E+02,  1.9094160E-02,  9.0050861E-02
93,10228900,  1.1999782E+02,  4.4965844E-02,  1.1315808E-01
94,10231300,  1.1999064E+02,  2.8366996E-02,  1.3624073E-01
95,10233800,  1.1999377E+02,  2.4121232E-02,  2.4789448E-02
96,10236900,  1.2000675E+02,  1.7893945E-02,  5.5274610E-03
97,10239400,  1.1999987E+02,  1.8063084E-02,  2.9266949E-02
98,10241800,  1.2000484E+02,  1.7156891E-02,  6.3517837E-02
99,10244200,  1.1998768E+02,  3.7129329E-02,  9.8061514E-02
100,10246600,  1.1997479E+02,  1.9075438E-02,  1.3258056E-01
101,10249100,  1.1999328E+02,  2.5595685E-02,  6.0684610E-03
102,10251500,  1.1999822E+02,  3.3192480E-02,  4.5558915E-02
103,10253900,  1.2001527E+02,  1.6314641E-02,  8.5055942E-02
104,10256300,  1.2003650E+02,  2.2448403E-03,  1.2459532E-01
105,10258700,  1.1999815E+02,  2.6428011E-02,  1.6408136E-01
106,10261100,  1.2002751E+02,  9.8994811E-03,  2.0347175E-01
107,10263500,  1.1998856E+02,  3.7985773E-02,  2.4324965E-01
108,10265900,  1.1996647E+02,  1.4454282E-02,  2.8277935E-01
109,10268300,  1.1997674E+02,  1.7374934E-02,  3.2235381E-01
110,10270700,  1.1998376E+02,  2.8074590E-02,  3.6172744E-01
111,10273100,  1.1999279E+02,  2.1597440E-03,  3.8582614E-01
112,10275500,  1.2000569E+02,  1.8711460E-02,  3.8947037E-01
113,10278000,  1.2000879E+02,  7.2561067E-03,  3.0703838E-02
114,10280400,  1.2000255E+02,  2.2917477E-02,  7.2451930E-02
115,10282800,  1.1999921E+02,  2.0343268E-02,  1.1404098E-01
116,10285300,  1.2000622E+02,  2.5766217E-02,  3.7810330E-03
117,10288200,  1.1999810E+02,  3.7502745E-02,  1.9323849E-02
118,10290800,  1.1998069E+02,  5.2764374E-02,  8.7487500E-03
119,10293200,  1.1999677E+02,  1.8186368E-02,  4.3134499E-02
120,10296300,  1.2000255E+02,  2.6482513E-02,  1.1288626E-02
121,10298700,  1.2000513E+02,  6.0743364E-02,  5.2934737E-02
122,10301200,  1.2003057E+02,  2.3048252E-02,  6.3084040E-03
123,10303600,  1.2003107E+02,  1.2834014E-02,  3.0987407E-02
124,10306000,  1.1998698E+02,  1.5308161E-02,  5.6055591E-02
125,10308400,  1.2000377E+02,  1.9024896E-03,  8.0959552E-02
126,10311000,  1.1999766E+02,  2.8183586E-02,  1.1705838E-02
127,10313500,  1.2000033E+02,  2.8967416E-02,  3.6247192E-02
128,10315900,  1.2000046E+02,  5.7343912E-03,  7.5947479E-02
129,10318300,  1.1999735E+02,  3.3797597E-02,  1.0824379E-01
130,10320700,  1.1999829E+02,  1.4248854E-02,  1.4052995E-01
131,10323100,  1.2000468E+02,  1.0877316E-02,  1.7284289E-01
132,10325500,  1.1999265E+02,  2.8060471E-02,  2.0545804E-01
133,10328000,  1.1999622E+02,  3.0984719E-02,  1.8791406E-02
134,10330400,  1.1999415E+02,  2.4021598E-02,  4.1948814E-02
135,10332800,  1.2001792E+02,  3.2129532E-02,  6.5542271E-02
136,10335200,  1.2000623E+02,  2.8408067E-02,  8.8942263E-02
137,10337700,  1.2000253E+02,  3.9114446E-02,  3.2739050E-02
138,10340100,  1.1999510E+02,  1.0852735E-02,  7.4623457E-02
139,10342500,  1.1996044E+02,  2.3695859E-02,  1.1667497E-01
140,10344900,  1.1999142E+02,  3.4914524E-02,  1.5886677E-01
141,10347300,  1.2000906E+02,  3.4386794E-02,  2.0082629E-01
142,10349700,  1.2001402E+02,  3.3258748E-02,  2.2883515E-01
143,10352200,  1.1997774E+02,  3.1188712E-02,  2.5089480E-03
144,10355200,  1.2000774E+02,  2.0830906E-02,  1.4679881E-02
145,10357600,  1.1999063E+02,  4.6962617E-03,  5.7114081E-02
146,10360500,  1.1998231E+02,  3.0883956E-02,  1.2767493E-02
147,10363000,  1.2003765E+02,  2.3053048E-02,  2.1992377E-02
148,10365500,  1.1999245E+02,  3.5999482E-02,  2.9231295E-02
149,10367900,  1.2001804E+02,  1.7816740E-02,  6.4034295E-02
150,10370300,  1.2002271E+02,  2.5595170E-02,  9.8350527E-02
151,10372700,  1.2000968E+02,  1.1836296E-02,  1.3272262E-01
152,10375200,  1.2000637E+02,  6.7924564E-03,  2.9031169E-02
153,10377600,  1.2000269E+02,  1.2980296E-02,  6.9104492E-02
154,10380000,  1.2000080E+02,  1.8540484E-02,  1.0890100E-01
155,10382600,  1.2002150E+02,  1.8800125E-02,  1.1938154E-02
156,10385000,  1.2000545E+02,  5.0138391E-03,  3.8093958E-02
157,10387400,  1.1999613E+02,  1.8234489E-02,  6.4726641E-02
