 batch,IMC_val,history_count,variance,stdv,rel_err
1,  5.6567859E-01,1000,  0.0000000E+00,  0.0000000E+00,  7.8998085E-04
2,  3.1596502E-01,1010,  1.5589218E-02,  1.2485679E-01,  7.8998085E-04
3,  2.9100773E-01,1020,  1.5380424E-02,  1.2401784E-01,  7.8998085E-04
4,  6.8680260E-01,1030,  2.7954308E-02,  1.6719542E-01,  7.8998085E-04
5,  5.4999858E-01,1040,  2.3523124E-02,  1.5337250E-01,  7.8998085E-04
6,  5.8805365E-01,1050,  2.1167967E-02,  1.4549215E-01,  7.8998085E-04
7,  4.6276772E-01,1060,  1.8309947E-02,  1.3531425E-01,  7.8998085E-04
8,  5.5804024E-01,1070,  1.6465228E-02,  1.2831690E-01,  7.8998085E-04
9,  6.1190483E-01,1080,  1.5822481E-02,  1.2578744E-01,  7.8998085E-04
10,  6.1444151E-01,1090,  1.5139743E-02,  1.2304366E-01,  7.8998085E-04
11,  5.3349978E-01,1100,  1.3770147E-02,  1.1734627E-01,  7.8998085E-04
12,  5.4145463E-01,1111,  1.2642601E-02,  1.1243932E-01,  7.8998085E-04
13,  5.8637794E-01,1122,  1.1923533E-02,  1.0919493E-01,  7.8998085E-04
14,  5.6734981E-01,1133,  1.1158383E-02,  1.0563325E-01,  7.8998085E-04
15,  5.5280021E-01,1144,  1.0436930E-02,  1.0216129E-01,  7.8998085E-04
16,  5.2431920E-01,1155,  9.7914015E-03,  9.8951511E-02,  7.8998085E-04
17,  6.5626972E-01,1166,  1.0037653E-02,  1.0018809E-01,  7.8998085E-04
18,  5.3275239E-01,1177,  9.4840874E-03,  9.7386279E-02,  7.8998085E-04
19,  5.5805347E-01,1188,  8.9992858E-03,  9.4864566E-02,  7.8998085E-04
20,  6.7479518E-01,1199,  9.3872701E-03,  9.6887926E-02,  7.8998085E-04
21,  3.1918379E-01,1210,  1.1327533E-02,  1.0643088E-01,  7.8998085E-04
22,  5.9556006E-01,1222,  1.0957944E-02,  1.0468020E-01,  7.8998085E-04
23,  5.8126630E-01,1234,  1.0551233E-02,  1.0271919E-01,  7.8998085E-04
24,  7.0139860E-01,1246,  1.1124854E-02,  1.0547442E-01,  7.8998085E-04
25,  4.2387649E-01,1258,  1.1278542E-02,  1.0620048E-01,  7.8998085E-04
26,  4.7298279E-01,1270,  1.1029932E-02,  1.0502348E-01,  7.8998085E-04
27,  6.5066140E-01,1282,  1.1050132E-02,  1.0511961E-01,  7.8998085E-04
28,  3.2508559E-01,1294,  1.2322294E-02,  1.1100583E-01,  7.8998085E-04
29,  5.4054594E-01,1306,  1.1897754E-02,  1.0907683E-01,  7.8998085E-04
30,  5.1990970E-01,1319,  1.1510953E-02,  1.0728911E-01,  7.8998085E-04
31,  4.4267477E-01,1332,  1.1415971E-02,  1.0684555E-01,  7.8998085E-04
32,  7.1820944E-01,1345,  1.2089562E-02,  1.0995255E-01,  7.8998085E-04
33,  4.9011084E-01,1358,  1.1794862E-02,  1.0860415E-01,  7.8998085E-04
34,  5.4839033E-01,1371,  1.1451039E-02,  1.0700953E-01,  7.8998085E-04
35,  5.5434230E-01,1384,  1.1131010E-02,  1.0550360E-01,  7.8998085E-04
36,  6.3624721E-01,1397,  1.1078486E-02,  1.0525439E-01,  7.8998085E-04
37,  4.7913777E-01,1410,  1.0881225E-02,  1.0431311E-01,  7.8998085E-04
38,  3.6017925E-01,1424,  1.1421406E-02,  1.0687098E-01,  7.8998085E-04
39,  5.3797685E-01,1438,  1.1128762E-02,  1.0549295E-01,  7.8998085E-04
