 batch,history,calc_int,stddev,batch_time
1,100,  1.2036366E+02,  1.0067559E+01,  0.0000000E+00
2,150,  1.2310918E+02,  2.0306579E+00,  0.0000000E+00
3,225,  1.2470594E+02,  8.8707058E+00,  0.0000000E+00
4,337,  1.2367294E+02,  1.5097230E+00,  0.0000000E+00
5,505,  1.1950556E+02,  3.2928012E+00,  0.0000000E+00
6,757,  1.2180250E+02,  3.1012998E+00,  0.0000000E+00
7,1135,  1.2134735E+02,  1.3636687E+00,  0.0000000E+00
8,1702,  1.2049359E+02,  5.9000546E-01,  0.0000000E+00
9,2553,  1.1968920E+02,  2.6598984E+00,  0.0000000E+00
10,3829,  1.1931580E+02,  2.3372774E+00,  1.0000000E-03
11,5743,  1.2129922E+02,  1.1827784E+00,  0.0000000E+00
12,8614,  1.1959543E+02,  6.6981953E-01,  0.0000000E+00
13,12921,  1.1989766E+02,  9.9194108E-01,  0.0000000E+00
14,19381,  1.1999235E+02,  2.5946514E-01,  1.0000000E-03
15,29071,  1.2014408E+02,  3.2260151E-01,  0.0000000E+00
16,43606,  1.2002252E+02,  2.7529758E-01,  2.0000001E-03
17,65409,  1.1993820E+02,  2.2602906E-01,  1.0000000E-03
18,98113,  1.2005954E+02,  3.8996440E-01,  2.0000001E-03
19,147169,  1.2004133E+02,  3.6472410E-01,  4.0000002E-03
20,220753,  1.2015550E+02,  2.4433807E-01,  4.9999999E-03
21,331129,  1.1997183E+02,  1.0088890E-01,  8.9999996E-03
22,496693,  1.1992214E+02,  1.0964143E-01,  1.2000000E-02
23,745039,  1.2005917E+02,  1.1458254E-01,  1.7999999E-02
24,1117558,  1.1994763E+02,  2.0313900E-01,  2.7000001E-02
25,1676337,  1.1996924E+02,  3.7327999E-02,  4.1000001E-02
26,2514505,  1.2000525E+02,  2.2220164E-02,  6.1000001E-02
27,3771757,  1.2001525E+02,  3.5579081E-02,  9.2000000E-02
28,5657635,  1.1996652E+02,  1.7289081E-02,  1.3699999E-01
29,8486452,  1.1998511E+02,  1.9696107E-02,  2.1100000E-01
30,12729678,  1.1998929E+02,  1.9692874E-02,  2.9800001E-01
31,19094516,  1.1997586E+02,  9.7041409E-03,  4.4900000E-01
32,28641774,  1.2001303E+02,  8.3326224E-03,  6.6299999E-01
33,42962660,  1.1999592E+02,  1.4379305E-02,  9.9299997E-01
34,64443992,  1.2001040E+02,  1.0203029E-02,  1.4930000E+00
35,96665984,  1.2000377E+02,  8.7514247E-03,  2.2330000E+00
36,144998976,  1.1999705E+02,  7.9511075E-03,  3.3529999E+00
37,217498464,  1.1999803E+02,  5.5020799E-03,  5.0330000E+00
38,326247680,  1.2000118E+02,  2.8173240E-03,  7.5409999E+00
39,489371520,  1.1999769E+02,  3.3263197E-03,  1.1314000E+01
40,734057280,  1.1999840E+02,  6.2384985E-03,  1.6955000E+01
