 rel_batch,history,calc_int,stddev,batch_time,thread_num
1,10,  8.0796482E-01,  2.9306139E-02,  0.0000000E+00,0
2,11,  8.1909180E-01,  2.0574415E-02,  0.0000000E+00,0
3,12,  8.1882535E-01,  1.6115791E-02,  0.0000000E+00,0
4,13,  8.3107868E-01,  2.4177808E-02,  0.0000000E+00,0
5,14,  8.3732255E-01,  1.9499771E-02,  0.0000000E+00,0
6,15,  8.3347954E-01,  1.4058378E-03,  0.0000000E+00,0
7,16,  8.1238881E-01,  1.5953241E-02,  0.0000000E+00,0
8,17,  8.3261794E-01,  1.6050989E-02,  0.0000000E+00,0
9,18,  8.3248051E-01,  1.2549960E-02,  0.0000000E+00,0
10,19,  8.0139035E-01,  9.4270888E-03,  0.0000000E+00,0
11,20,  8.3092311E-01,  4.7184906E-03,  0.0000000E+00,0
12,22,  8.3063256E-01,  8.0262469E-03,  0.0000000E+00,0
13,1069,  8.2091068E-01,  2.6372178E-02,  0.0000000E+00,0
14,4450,  8.2284705E-01,  9.0821162E-04,  0.0000000E+00,0
15,18575,  8.2193164E-01,  7.7179277E-04,  0.0000000E+00,0
16,77580,  8.2254814E-01,  2.3520919E-04,  0.0000000E+00,0
17,324057,  8.2248512E-01,  2.1786969E-04,  0.0000000E+00,0
18,694639,  8.2232749E-01,  1.3335601E-04,  0.0000000E+00,0
19,1981878,  8.2252504E-01,  6.3288666E-05,  0.0000000E+00,0
20,6841970,  8.2244260E-01,  1.2376156E-05,  0.0000000E+00,0
21,23620346,  8.2247811E-01,  2.0240475E-05,  0.0000000E+00,0
22,50632316,  8.2246287E-01,  1.8598486E-05,  0.0000000E+00,0
23,108534872,  8.2246896E-01,  1.2070092E-05,  0.0000000E+00,0
24,158905920,  8.2246499E-01,  9.9841356E-06,  0.0000000E+00,0
25,39,  8.1447452E-01,  1.1958833E-02,  0.0000000E+00,0
26,46,  8.2189761E-01,  7.6131472E-03,  0.0000000E+00,0
27,113,  8.0900230E-01,  1.3985761E-02,  0.0000000E+00,0
28,136,  8.2255063E-01,  2.6612531E-02,  0.0000000E+00,0
29,550,  8.2379418E-01,  4.7481189E-03,  0.0000000E+00,0
30,1563,  8.2196476E-01,  1.3338648E-03,  0.0000000E+00,0
31,6514,  8.2185470E-01,  1.2824286E-03,  0.0000000E+00,0
