 rel_batch,history,calc_int,stddev,batch_time,thread_num
1,10,  8.5427773E-01,  1.8884853E-02,  0.0000000E+00,0
2,11,  7.9922148E-01,  2.4736666E-02,  0.0000000E+00,0
3,12,  8.5345394E-01,  1.8660914E-02,  0.0000000E+00,0
4,13,  8.3203576E-01,  7.9343238E-03,  0.0000000E+00,0
5,14,  8.2861672E-01,  1.2629015E-02,  0.0000000E+00,0
6,15,  8.1828527E-01,  2.6663563E-02,  0.0000000E+00,0
7,16,  8.1854979E-01,  4.8267437E-02,  0.0000000E+00,0
8,17,  8.2112341E-01,  6.1443683E-03,  0.0000000E+00,0
9,18,  8.2091431E-01,  1.0783939E-02,  0.0000000E+00,0
10,19,  8.2186287E-01,  4.3837134E-03,  0.0000000E+00,0
11,20,  8.3033055E-01,  8.1668378E-03,  0.0000000E+00,0
12,22,  8.1840478E-01,  2.2141285E-02,  0.0000000E+00,0
13,24,  8.3517373E-01,  1.9806687E-02,  0.0000000E+00,0
14,26,  8.2685729E-01,  2.5253148E-02,  0.0000000E+00,0
15,28,  8.0092121E-01,  5.6499228E-03,  0.0000000E+00,0
16,30,  8.3485440E-01,  1.0842831E-02,  0.0000000E+00,0
17,33,  8.2886559E-01,  1.5024397E-02,  0.0000000E+00,0
18,36,  8.1919020E-01,  9.8995723E-03,  0.0000000E+00,0
19,39,  8.3139749E-01,  1.5740339E-02,  0.0000000E+00,0
20,42,  8.2327844E-01,  4.4963171E-03,  0.0000000E+00,0
21,46,  8.1879318E-01,  4.0729303E-03,  0.0000000E+00,0
22,50,  8.1371713E-01,  7.1722104E-03,  0.0000000E+00,0
23,55,  8.2427368E-01,  3.1905393E-03,  0.0000000E+00,0
24,60,  8.3526273E-01,  1.4471339E-02,  0.0000000E+00,0
25,66,  8.1558445E-01,  1.0654476E-02,  0.0000000E+00,0
26,72,  8.2351788E-01,  2.6366617E-03,  0.0000000E+00,0
27,79,  8.2318240E-01,  7.7211340E-03,  0.0000000E+00,0
28,86,  8.2695743E-01,  9.6966814E-03,  0.0000000E+00,0
29,94,  8.2385185E-01,  1.2287101E-02,  0.0000000E+00,0
30,103,  8.2598718E-01,  8.4214177E-03,  0.0000000E+00,0
31,113,  8.2386551E-01,  6.6237087E-03,  0.0000000E+00,0
32,124,  8.2376408E-01,  6.1222656E-03,  0.0000000E+00,0
33,136,  8.2016013E-01,  4.0751955E-03,  0.0000000E+00,0
34,149,  8.2126668E-01,  6.8200484E-03,  0.0000000E+00,0
35,163,  8.2756418E-01,  6.3540944E-03,  0.0000000E+00,0
36,179,  8.2329185E-01,  2.2001954E-03,  0.0000000E+00,0
37,196,  8.2028836E-01,  7.5485487E-03,  0.0000000E+00,0
38,215,  8.1839814E-01,  5.9630464E-03,  0.0000000E+00,0
39,236,  8.2692267E-01,  3.4382055E-03,  0.0000000E+00,0
40,259,  8.2296202E-01,  3.7579813E-03,  0.0000000E+00,0
41,284,  8.2317757E-01,  4.5360575E-03,  0.0000000E+00,0
42,312,  8.2050695E-01,  4.0897048E-03,  0.0000000E+00,0
43,343,  8.1868999E-01,  1.2639597E-03,  0.0000000E+00,0
44,377,  8.2214069E-01,  3.0820978E-03,  0.0000000E+00,0
45,414,  8.2492182E-01,  5.3999542E-03,  0.0000000E+00,0
46,455,  8.1770358E-01,  1.3382432E-04,  0.0000000E+00,0
47,500,  8.2200649E-01,  2.7119059E-03,  0.0000000E+00,0
48,550,  8.2124005E-01,  3.6658632E-03,  0.0000000E+00,0
49,605,  8.2223341E-01,  1.8045172E-03,  0.0000000E+00,0
50,665,  8.1724990E-01,  3.2157209E-03,  0.0000000E+00,0
51,731,  8.2359317E-01,  3.8867272E-03,  0.0000000E+00,0
52,804,  8.2199517E-01,  4.1953378E-03,  0.0000000E+00,0
